from,to
Cd74,Jarid2
Atf4,Cdkl5
Egr1,Camk1g
Rbfox2,Cdk11b
Atf4,Cdk11b
Nfatc1,Cdk11b
Sox9,Nadk
Erg,Nadk
Atf4,Nadk
Nfatc1,Nadk
Cd74,Nadk
Egr1,Nadk
Rbfox2,Nadk
Kdm6b,Nadk
Nfatc1,Tfap2b
Egr1,Tfap2b
Sox9,Tfap2b
Nfe2l2,Tfap2b
Nkx2-5,Tfap2b
Egr1,Tfap2d
Sirt1,Tfap2d
Hif1a,Tfap2d
Erg,Dlec1
Egr1,Dlec1
Nkx2-5,Cyth3
Egr1,Cyth3
Nfe2l2,Cyth3
Epas1,Cyth3
Egr1,Adam22
Nfatc1,Adam22
Erg,Adam22
Nfe2l2,Adam22
Nfatc1,Sypl
Nfe2l2,Sypl
Egr1,Sypl
Epas1,Sypl
Erg,Sypl
Flt1,Sypl
Dnmt1,Sypl
Egr1,Cyb561
Hif1a,Cyb561
Atf4,Cyb561
Nfe2l2,Cyb561
Nfatc1,Cyb561
Egr1,Spag9
Nfatc1,Spag9
Sox9,Spag9
Vegfa,Spag9
Hmgb1,Spag9
Hif1a,Spag9
Nfe2l2,Spag9
Erg,Spag9
Dnmt1,Celsr3
Igf1,Celsr3
Epas1,Celsr3
Nfatc1,Celsr3
Egr1,Celsr3
Erg,Celsr3
Sox9,Aass
Hif1a,Aass
Vegfa,Aass
Inhba,Aass
Hif1a,Plekhg6
Adm,Plekhg6
Igf1,Plekhg6
Nfe2l2,Plekhg6
Hif1a,Deb1
Egr1,Deb1
Sirt1,Deb1
Sox9,Deb1
Nfatc1,Mpnd
Erg,Mpnd
Nfe2l2,Mpnd
Egr1,Mpnd
Epas1,Mgst1
Nfe2l2,Mgst1
Erg,Mgst1
Egr1,Mgst1
Vegfa,Mgst1
Sox9,Cry1
Nfe2l2,Cry1
Nfatc1,Cry1
Hif1a,Cry1
Egr1,Cry1
Epas1,Cry1
Atf4,Cry1
Egr1,Pglyrp1
Sox9,Nfix
Hmgb1,Nfix
Egr1,Nfix
Nfe2l2,Nfix
Adm,Nfix
Erg,Nfix
Dnmt1,Nfix
Hif1a,Nfix
Sox9,St3gal1
Nfe2l2,St3gal1
Egr1,St3gal1
Igf1,St3gal1
Erg,St3gal1
Egr1,Mmp25
Epas1,Mmp25
Egr1,Pkd1
Nfe2l2,Pkd1
Sox9,Pkd1
Erg,Pkd1
Vegfa,Pkd1
Atf4,Mapk8ip2
Hmgb1,Mapk8ip2
Adm,Mapk8ip2
Sox9,Mapk8ip2
Hif1a,Mapk8ip2
Egr1,Mapk8ip2
Erg,Med24
Nfatc1,Med24
Adam17,Rhobtb2
Pdk1,Rhobtb2
Nfe2l2,Rhobtb2
Sirt1,Rhobtb2
Cd74,Heatr5b
Egr1,Heatr5b
Nfatc1,Heatr5b
Hif1a,Heatr5b
Egr1,Sec62
Nfatc1,Sec62
Hif1a,Sec62
Erg,Sec62
Atf4,Rps20
Egr1,Rps20
Nfatc1,Rps20
Hif1a,Rps20
Erg,Rps20
Nfe2l2,Rps20
Igf1,Rps20
Hey2,Rps20
Nkx2-5,Csde1
Egr1,Csde1
Sox9,Csde1
Hif1a,Csde1
Rbfox2,Csde1
Nfatc1,Csde1
Erg,Ube3c
Egr1,Ube3c
Hmgb1,Ube3c
Hif1a,Ube3c
Hmgb1,Rev3l
Nfatc1,Rev3l
Egr1,Rev3l
Nfe2l2,Rev3l
Nkx2-5,Pax7
Adm,Pax7
Egr1,Pax7
Igf1,Pax7
Egr1,Masp2
Dnmt1,Masp2
Sirt1,Iyd
Nfatc1,Iyd
Egr1,Fam76a
Hmgb1,Fam76a
Epas1,Fam76a
Hif1a,Fam76a
Cd274,Traf3ip3
Nfatc1,Pomt2
Egr1,Vta1
Nfe2l2,Vta1
Nkx2-5,Vta1
Kit,Vta1
Nfatc1,Vta1
Egr1,Mlxipl
Erg,Baz1b
Egr1,Baz1b
Nfe2l2,Baz1b
Nfatc1,Baz1b
Nfatc1,Ranbp9
Sox9,Ranbp9
Egr1,Ranbp9
Hmgb1,Ranbp9
Mtor,Ranbp9
Atf4,Sprtn
Nfatc1,Sprtn
Hif1a,Sprtn
Erg,Sprtn
Kdm6b,Sprtn
Nfe2l2,Sprtn
Nfatc1,Mettl13
Atf4,Mettl13
Kit,Dyrk4
Flt1,Dyrk4
Hif1a,Dyrk4
Nfe2l2,Dyrk4
Igf1,Zfp207
Nfatc1,Zfp207
Egr1,Zfp207
Hif1a,Zfp207
Hey2,Zfp207
Atf4,Zfp207
Nfe2l2,Zfp207
Pdk1,Uqcrc1
Hif1a,Uqcrc1
Nfatc1,Uqcrc1
Egr1,Uqcrc1
Flt1,Uqcrc1
Nfe2l2,Uqcrc1
Erg,Uqcrc1
Hmox1,Uqcrc1
Nfatc1,Stard3nl
Egr1,Stard3nl
Erg,Stard3nl
Nkx2-5,Stard3nl
Atf4,Stard3nl
Nfe2l2,Cd9
Col1a1,Cd9
Erg,Cd9
Egr1,Cd9
Hmgb1,Cd9
Sox9,Cd9
Hif1a,Cd9
Cnr1,Hhatl
Erg,Hhatl
Adm,Hhatl
Sox9,Ncapd2
Nfe2l2,Ncapd2
Nfatc1,Ncapd2
Igf1,Ncapd2
Egr1,Ncapd2
Hif1a,Ncapd2
Rbfox2,Iffo1
Nfe2l2,Iffo1
Egr1,Iffo1
Erg,Iffo1
Krt7,Iffo1
Dnmt1,Gipr
Egr1,Gipr
